Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time
2048,123.0,1625,0.3352866200148128,"[3, 7, 5, 7, 4, 9, 5, 8, 7, 2, 8, 8, 7, 6, 7, 9, 2, 8, 0, 3, 1, 0, 1, 6, 8, 6, 7, 0, 3, 0, 3, 8, 2, 2, 1, 9, 5, 9, 5, 3, 7, 4, 0, 1, 5, 8, 6, 3, 3, 4]",geometric,250,0.99,0.001,249.15898201852755,250,2048,geom_decay,50,55,0.3421189785003662
0,108.0,0,0.0002700919867493212,"[6, 3, 7, 9, 1, 0, 0, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 4, 6, 9, 2, 9, 1, 0, 2, 6, 2, 1, 2, 1, 9, 8, 4, 3, 3, 0, 8, 6, 0, 3, 2, 4, 2, 1]",geometric,250,0.99,0.001,249.99932137212653,250,2048,geom_decay,50,888,0.30619311332702637
1,109.0,2,0.0019021749612875283,"[6, 3, 7, 9, 1, 0, 0, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 4, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 1, 9, 8, 4, 3, 3, 0, 8, 6, 0, 3, 2, 4, 2, 1]",geometric,250,0.99,0.001,249.99522067138128,250,2048,geom_decay,50,888,0.30619311332702637
2,109.0,4,0.0034658509539440274,"[6, 3, 7, 9, 1, 3, 0, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 4, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 1, 9, 8, 4, 3, 3, 0, 8, 6, 0, 3, 2, 4, 2, 1]",geometric,250,0.99,0.001,249.99129191013887,250,2048,geom_decay,50,888,0.30619311332702637
4,109.0,8,0.005230177950579673,"[6, 3, 7, 8, 1, 3, 0, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 4, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 4, 9, 8, 4, 3, 3, 0, 8, 6, 0, 3, 2, 4, 2, 1]",geometric,250,0.99,0.001,249.9868590841352,250,2048,geom_decay,50,888,0.30619311332702637
8,109.0,16,0.007319724943954498,"[6, 3, 7, 8, 1, 3, 7, 9, 3, 0, 6, 3, 2, 4, 1, 7, 2, 8, 6, 3, 8, 5, 9, 5, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 4, 9, 8, 4, 3, 3, 5, 8, 6, 0, 3, 2, 4, 2, 6]",geometric,250,0.99,0.001,249.98160925296185,250,2048,geom_decay,50,888,0.30619311332702637
16,108.0,32,0.010291602986399084,"[6, 3, 7, 8, 1, 3, 5, 6, 3, 7, 6, 3, 2, 4, 6, 7, 2, 8, 6, 3, 8, 5, 9, 5, 6, 9, 2, 9, 8, 0, 2, 6, 2, 1, 2, 4, 9, 8, 4, 3, 3, 5, 8, 6, 0, 5, 4, 6, 2, 5]",geometric,250,0.99,0.001,249.9741428206586,250,2048,geom_decay,50,888,0.30619311332702637
32,110.0,64,0.01490972499595955,"[4, 3, 7, 8, 1, 3, 6, 0, 3, 7, 6, 3, 2, 4, 4, 7, 2, 8, 6, 0, 4, 9, 1, 2, 6, 9, 2, 9, 8, 9, 2, 6, 2, 8, 2, 4, 9, 8, 4, 0, 3, 5, 8, 9, 0, 5, 4, 6, 2, 1]",geometric,250,0.99,0.001,249.96254087072992,250,2048,geom_decay,50,888,0.30619311332702637
64,112.0,128,0.025915450998581946,"[4, 3, 7, 0, 2, 3, 6, 7, 3, 5, 6, 8, 2, 4, 4, 9, 2, 8, 4, 0, 2, 3, 1, 4, 1, 2, 7, 4, 8, 9, 6, 6, 2, 8, 9, 4, 9, 8, 8, 0, 0, 0, 8, 9, 5, 9, 4, 6, 6, 8]",geometric,250,0.99,0.001,249.9348937325416,250,2048,geom_decay,50,888,0.30619311332702637
128,106.0,256,0.0459850809420459,"[3, 0, 1, 3, 1, 6, 6, 7, 3, 5, 6, 8, 4, 4, 1, 9, 9, 7, 2, 0, 2, 1, 7, 9, 8, 6, 3, 1, 2, 6, 6, 7, 9, 0, 9, 9, 9, 1, 8, 3, 5, 8, 0, 0, 5, 6, 4, 6, 9, 8]",geometric,250,0.99,0.001,249.88448531857733,250,2048,geom_decay,50,888,0.30619311332702637
256,109.0,511,0.0869349209824577,"[6, 3, 0, 6, 7, 6, 0, 6, 2, 2, 6, 6, 4, 1, 0, 2, 8, 9, 5, 7, 9, 4, 0, 1, 8, 8, 6, 5, 8, 0, 1, 7, 7, 9, 6, 3, 7, 0, 8, 7, 1, 5, 9, 3, 1, 2, 7, 9, 9, 5]",geometric,250,0.99,0.001,249.7816641083521,250,2048,geom_decay,50,888,0.30619311332702637
512,118.0,1008,0.17149364296346903,"[1, 1, 0, 7, 7, 9, 2, 9, 7, 2, 6, 8, 0, 6, 0, 6, 7, 7, 8, 4, 5, 9, 8, 1, 9, 7, 5, 5, 5, 4, 3, 3, 3, 7, 4, 9, 6, 8, 3, 1, 1, 9, 6, 8, 8, 6, 1, 0, 7, 7]",geometric,250,0.99,0.001,249.56947894575657,250,2048,geom_decay,50,888,0.30619311332702637
1024,123.0,1498,0.2995593149680644,"[0, 4, 2, 6, 3, 5, 4, 3, 2, 4, 5, 0, 8, 9, 9, 1, 2, 7, 9, 4, 9, 1, 9, 5, 9, 7, 5, 3, 1, 9, 0, 1, 8, 7, 9, 0, 4, 7, 1, 9, 7, 4, 6, 5, 2, 0, 3, 8, 0, 3]",geometric,250,0.99,0.001,249.2484639509667,250,2048,geom_decay,50,888,0.30619311332702637
2048,123.0,1498,0.2995593149680644,"[0, 4, 2, 6, 3, 5, 4, 3, 2, 4, 5, 0, 8, 9, 9, 1, 2, 7, 9, 4, 9, 1, 9, 5, 9, 7, 5, 3, 1, 9, 0, 1, 8, 7, 9, 0, 4, 7, 1, 9, 7, 4, 6, 5, 2, 0, 3, 8, 0, 3]",geometric,250,0.99,0.001,249.2484639509667,250,2048,geom_decay,50,888,0.30619311332702637
0,111.0,0,0.0002672310220077634,"[2, 5, 1, 4, 9, 5, 2, 1, 6, 1, 9, 7, 6, 0, 2, 9, 1, 2, 6, 7, 7, 7, 8, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 8, 5, 2, 5, 3, 0, 6, 8, 0, 5, 6, 8, 9]",geometric,250,0.99,0.001,249.99932856052126,250,2048,geom_decay,50,12345,0.2514657974243164
1,111.0,2,0.001815251016523689,"[2, 5, 1, 4, 9, 5, 2, 1, 6, 1, 9, 7, 6, 0, 2, 9, 1, 2, 2, 7, 7, 7, 8, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 8, 5, 2, 5, 3, 0, 6, 8, 0, 5, 6, 8, 9]",geometric,250,0.99,0.001,249.99543907101105,250,2048,geom_decay,50,12345,0.2514657974243164
2,111.0,4,0.0033267419785261154,"[2, 5, 1, 4, 9, 5, 2, 1, 6, 1, 9, 7, 6, 0, 2, 9, 1, 2, 2, 7, 7, 7, 8, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 8, 5, 2, 5, 3, 0, 6, 8, 0, 8, 6, 8, 9]",geometric,250,0.99,0.001,249.99164142118926,250,2048,geom_decay,50,12345,0.2514657974243164
4,110.0,8,0.0050535150221548975,"[2, 5, 1, 4, 9, 5, 2, 1, 6, 1, 9, 7, 6, 0, 4, 9, 1, 0, 2, 7, 7, 7, 8, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 8, 5, 2, 5, 3, 0, 6, 8, 0, 8, 6, 8, 9]",geometric,250,0.99,0.001,249.98730294163815,250,2048,geom_decay,50,12345,0.2514657974243164
8,106.0,16,0.007135179010219872,"[7, 5, 1, 4, 9, 9, 2, 1, 6, 1, 9, 7, 6, 0, 4, 9, 1, 0, 2, 7, 7, 7, 5, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 8, 5, 2, 5, 3, 0, 6, 5, 0, 8, 6, 8, 9]",geometric,250,0.99,0.001,249.9820729064352,250,2048,geom_decay,50,12345,0.2514657974243164
16,110.0,32,0.010037934989668429,"[9, 6, 1, 4, 9, 9, 2, 1, 6, 1, 9, 2, 6, 0, 4, 9, 1, 0, 2, 7, 8, 7, 5, 7, 1, 7, 4, 0, 3, 5, 7, 3, 1, 5, 2, 5, 3, 6, 5, 2, 5, 3, 0, 6, 2, 3, 8, 0, 8, 9]",geometric,250,0.99,0.001,249.97478011769005,250,2048,geom_decay,50,12345,0.2514657974243164
32,115.0,64,0.014686607988551259,"[9, 5, 4, 4, 7, 3, 2, 1, 6, 1, 9, 2, 2, 5, 4, 2, 1, 0, 2, 7, 8, 7, 0, 7, 4, 7, 4, 0, 3, 5, 8, 3, 5, 7, 2, 5, 9, 6, 5, 2, 5, 3, 9, 6, 2, 3, 8, 0, 8, 9]",geometric,250,0.99,0.001,249.96310138757474,250,2048,geom_decay,50,12345,0.2514657974243164
64,107.0,127,0.02273534901905805,"[9, 0, 1, 1, 7, 3, 2, 1, 6, 1, 9, 2, 7, 1, 4, 9, 1, 1, 8, 1, 8, 7, 0, 7, 4, 0, 7, 8, 3, 5, 8, 6, 0, 1, 4, 5, 5, 2, 5, 2, 5, 3, 0, 2, 2, 9, 2, 0, 4, 9]",geometric,250,0.99,0.001,249.94288205256683,250,2048,geom_decay,50,12345,0.2514657974243164
128,105.0,255,0.0385740710189566,"[9, 0, 2, 2, 6, 3, 2, 1, 6, 7, 9, 3, 7, 6, 1, 7, 0, 1, 8, 7, 6, 1, 3, 2, 2, 0, 7, 2, 2, 5, 6, 8, 4, 1, 4, 9, 6, 2, 6, 4, 8, 8, 0, 1, 1, 3, 7, 5, 6, 9]",geometric,250,0.99,0.001,249.90309819253048,250,2048,geom_decay,50,12345,0.2514657974243164
256,108.0,510,0.07350604597013444,"[3, 0, 1, 3, 5, 1, 5, 3, 6, 7, 3, 5, 8, 2, 1, 0, 7, 1, 6, 2, 1, 5, 1, 8, 9, 1, 8, 7, 2, 8, 0, 3, 8, 1, 4, 5, 6, 5, 4, 9, 0, 1, 3, 5, 2, 0, 1, 6, 4, 1]",geometric,250,0.99,0.001,249.81537809176297,250,2048,geom_decay,50,12345,0.2514657974243164
512,116.0,998,0.15688471001340076,"[6, 9, 2, 6, 4, 3, 8, 0, 8, 4, 6, 1, 7, 5, 5, 2, 3, 0, 9, 8, 4, 6, 7, 3, 3, 7, 9, 0, 4, 6, 2, 9, 5, 4, 6, 3, 3, 9, 1, 0, 3, 0, 3, 3, 2, 6, 8, 8, 1, 4]",geometric,250,0.99,0.001,249.6061245954689,250,2048,geom_decay,50,12345,0.2514657974243164
