Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time,schedule_decay
4,109.0,8,0.005018932977691293,"[7, 8, 5, 7, 5, 1, 6, 0, 3, 8, 7, 3, 5, 7, 8, 3, 7, 0, 7, 2, 1, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",geometric,250,,0.001,249.9873898275306,250,2048,geom_decay,50,55,0.36545777320861816,0.99
8,110.0,16,0.007196882972493768,"[7, 8, 5, 8, 5, 1, 6, 0, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 9, 1, 8, 2, 0, 7, 2, 8, 0, 5, 6, 3, 8, 2, 2, 1, 3, 5, 3, 9, 2]",geometric,250,,0.001,249.9819178812146,250,2048,geom_decay,50,55,0.36545777320861816,0.99
16,110.0,32,0.010233676992356777,"[7, 8, 5, 8, 5, 4, 7, 3, 3, 8, 4, 3, 5, 7, 8, 3, 7, 0, 7, 0, 3, 4, 0, 8, 0, 8, 4, 5, 4, 8, 1, 8, 2, 1, 7, 2, 8, 0, 2, 6, 3, 8, 2, 2, 1, 0, 5, 3, 9, 2]",geometric,250,,0.001,249.97428834957125,250,2048,geom_decay,50,55,0.36545777320861816,0.99
32,107.0,64,0.01483505399664864,"[7, 8, 8, 8, 5, 4, 7, 3, 5, 2, 4, 7, 5, 4, 8, 3, 7, 1, 7, 5, 0, 4, 0, 8, 1, 1, 4, 5, 4, 8, 1, 8, 2, 1, 7, 3, 0, 0, 2, 6, 3, 8, 2, 8, 1, 0, 1, 3, 9, 3]",geometric,250,,0.001,249.9627284598438,250,2048,geom_decay,50,55,0.36545777320861816,0.99
64,109.0,128,0.023039613966830075,"[4, 8, 9, 8, 5, 7, 7, 3, 5, 2, 4, 1, 5, 4, 2, 7, 7, 1, 4, 4, 0, 4, 9, 8, 8, 1, 6, 5, 6, 8, 1, 8, 6, 0, 4, 3, 0, 7, 2, 6, 3, 0, 3, 4, 4, 2, 1, 7, 5, 0]",geometric,250,,0.001,249.94211773717174,250,2048,geom_decay,50,55,0.36545777320861816,0.99
128,110.0,256,0.0397271909750998,"[9, 8, 9, 5, 5, 3, 8, 2, 1, 1, 9, 9, 2, 6, 1, 8, 7, 6, 0, 3, 0, 0, 1, 0, 2, 1, 6, 0, 6, 0, 1, 0, 7, 6, 5, 3, 0, 8, 7, 6, 0, 9, 0, 7, 5, 5, 8, 7, 7, 8]",geometric,250,,0.001,249.90020202162165,250,2048,geom_decay,50,55,0.36545777320861816,0.99
256,116.0,510,0.07767643599072471,"[9, 0, 1, 1, 7, 3, 4, 2, 4, 2, 1, 3, 1, 0, 5, 2, 7, 0, 7, 9, 5, 0, 1, 9, 5, 7, 6, 4, 1, 3, 2, 7, 7, 1, 3, 9, 8, 5, 4, 6, 0, 5, 4, 6, 8, 6, 9, 0, 8, 8]",geometric,250,,0.001,249.80490759431652,250,2048,geom_decay,50,55,0.36545777320861816,0.99
512,115.0,1001,0.16811398800928146,"[0, 7, 8, 3, 7, 6, 4, 0, 7, 7, 5, 0, 3, 8, 1, 2, 1, 8, 2, 0, 9, 9, 0, 6, 8, 3, 8, 6, 3, 0, 4, 2, 1, 0, 3, 2, 1, 2, 7, 6, 5, 6, 7, 7, 7, 4, 5, 8, 3, 2]",geometric,250,,0.001,249.57795613320084,250,2048,geom_decay,50,55,0.36545777320861816,0.99
1024,123.0,1625,0.3587499280110933,"[3, 7, 5, 7, 4, 9, 5, 8, 7, 2, 8, 8, 7, 6, 7, 9, 2, 8, 0, 3, 1, 0, 1, 6, 8, 6, 7, 0, 3, 0, 3, 8, 2, 2, 1, 9, 5, 9, 5, 3, 7, 4, 0, 1, 5, 8, 6, 3, 3, 4]",geometric,250,,0.001,249.10023373815767,250,2048,geom_decay,50,55,0.36545777320861816,0.99
2048,123.0,1625,0.3587499280110933,"[3, 7, 5, 7, 4, 9, 5, 8, 7, 2, 8, 8, 7, 6, 7, 9, 2, 8, 0, 3, 1, 0, 1, 6, 8, 6, 7, 0, 3, 0, 3, 8, 2, 2, 1, 9, 5, 9, 5, 3, 7, 4, 0, 1, 5, 8, 6, 3, 3, 4]",geometric,250,,0.001,249.10023373815767,250,2048,geom_decay,50,55,0.36545777320861816,0.99
