Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,Population_Size,Mutation_Rate,Problem_Size,Seed
100,26.780479779001325,227.0,101104.0,1000,0.5,2048,1000,0.5,100,55
101,27.01754652999807,227.0,102105.0,1000,0.5,2048,1000,0.5,100,55
102,27.259168418007903,227.0,103106.0,1000,0.5,2048,1000,0.5,100,55
103,27.51389076601481,227.0,104107.0,1000,0.5,2048,1000,0.5,100,55
104,27.7553324890323,227.0,105108.0,1000,0.5,2048,1000,0.5,100,55
105,28.98822806304088,227.0,106109.0,1000,0.5,2048,1000,0.5,100,55
106,29.654461408033967,227.0,107110.0,1000,0.5,2048,1000,0.5,100,55
107,30.119396844995208,227.0,108111.0,1000,0.5,2048,1000,0.5,100,55
108,30.49556858302094,227.0,109112.0,1000,0.5,2048,1000,0.5,100,55
109,30.90371663402766,227.0,110113.0,1000,0.5,2048,1000,0.5,100,55
110,31.426363506005146,227.0,111114.0,1000,0.5,2048,1000,0.5,100,55
111,31.73355333902873,227.0,112115.0,1000,0.5,2048,1000,0.5,100,55
112,32.015950994042214,227.0,113116.0,1000,0.5,2048,1000,0.5,100,55
113,32.3032881860272,227.0,114117.0,1000,0.5,2048,1000,0.5,100,55
114,32.579873458016664,227.0,115118.0,1000,0.5,2048,1000,0.5,100,55
115,32.88401885004714,227.0,116119.0,1000,0.5,2048,1000,0.5,100,55
116,33.14034709800035,227.0,117120.0,1000,0.5,2048,1000,0.5,100,55
117,33.4527663680492,227.0,118121.0,1000,0.5,2048,1000,0.5,100,55
118,33.74701335001737,227.0,119122.0,1000,0.5,2048,1000,0.5,100,55
119,34.13147978502093,227.0,120123.0,1000,0.5,2048,1000,0.5,100,55
120,34.39635315502528,227.0,121124.0,1000,0.5,2048,1000,0.5,100,55
121,34.66314010799397,227.0,122125.0,1000,0.5,2048,1000,0.5,100,55
122,34.91035820200341,229.0,123127.0,1000,0.5,2048,1000,0.5,100,55
123,35.15801084600389,229.0,124128.0,1000,0.5,2048,1000,0.5,100,55
124,35.45546137203928,229.0,125129.0,1000,0.5,2048,1000,0.5,100,55
125,35.72072920500068,229.0,126130.0,1000,0.5,2048,1000,0.5,100,55
126,35.98306710203178,229.0,127131.0,1000,0.5,2048,1000,0.5,100,55
127,36.22293201403227,229.0,128132.0,1000,0.5,2048,1000,0.5,100,55
128,36.47126711404417,229.0,129133.0,1000,0.5,2048,1000,0.5,100,55
129,38.30896696104901,229.0,130134.0,1000,0.5,2048,1000,0.5,100,55
130,39.322600853047334,229.0,131135.0,1000,0.5,2048,1000,0.5,100,55
131,39.97692413901677,229.0,132136.0,1000,0.5,2048,1000,0.5,100,55
132,40.45928446500329,229.0,133137.0,1000,0.5,2048,1000,0.5,100,55
133,40.7551940260455,229.0,134138.0,1000,0.5,2048,1000,0.5,100,55
134,41.01161899603903,229.0,135139.0,1000,0.5,2048,1000,0.5,100,55
135,41.286937533994205,229.0,136140.0,1000,0.5,2048,1000,0.5,100,55
